,precision,recall,f1-score,support
Afghan,1.0,1.0,1.0,10.0
African Wild Dog,1.0,1.0,1.0,10.0
Airedale,1.0,0.9,0.9473684210526315,10.0
American  Spaniel,1.0,0.5,0.6666666666666666,10.0
American Hairless,0.75,0.3,0.42857142857142855,10.0
Basenji,0.7692307692307693,1.0,0.8695652173913043,10.0
Basset,1.0,1.0,1.0,10.0
Beagle,1.0,0.9,0.9473684210526315,10.0
Bearded Collie,1.0,0.9,0.9473684210526315,10.0
Bermaise,0.9090909090909091,1.0,0.9523809523809523,10.0
Bichon Frise,1.0,1.0,1.0,10.0
Blenheim,0.9090909090909091,1.0,0.9523809523809523,10.0
Bloodhound,1.0,1.0,1.0,10.0
Bluetick,1.0,1.0,1.0,10.0
Border Collie,0.9,0.9,0.9,10.0
Borzoi,1.0,1.0,1.0,10.0
Boston Terrier,0.4,0.2,0.26666666666666666,10.0
Boxer,1.0,0.9,0.9473684210526315,10.0
Bull Mastiff,1.0,1.0,1.0,10.0
Bull Terrier,1.0,0.8,0.8888888888888888,10.0
Bulldog,0.5333333333333333,0.8,0.64,10.0
Cairn,1.0,1.0,1.0,10.0
Chihuahua,1.0,0.8,0.8888888888888888,10.0
Chinese Crested,0.7142857142857143,1.0,0.8333333333333334,10.0
Chow,1.0,0.9,0.9473684210526315,10.0
Clumber,1.0,1.0,1.0,10.0
Cockapoo,0.42105263157894735,0.8,0.5517241379310345,10.0
Cocker,0.8333333333333334,1.0,0.9090909090909091,10.0
Collie,0.8333333333333334,1.0,0.9090909090909091,10.0
Corgi,0.8333333333333334,1.0,0.9090909090909091,10.0
Coyote,1.0,1.0,1.0,10.0
Dalmation,1.0,0.9,0.9473684210526315,10.0
Dhole,1.0,1.0,1.0,10.0
Dingo,0.9090909090909091,1.0,0.9523809523809523,10.0
Doberman,0.9090909090909091,1.0,0.9523809523809523,10.0
Elk Hound,0.9090909090909091,1.0,0.9523809523809523,10.0
French Bulldog,0.7142857142857143,1.0,0.8333333333333334,10.0
German Sheperd,0.9090909090909091,1.0,0.9523809523809523,10.0
Golden Retriever,1.0,1.0,1.0,10.0
Great Dane,0.9,0.9,0.9,10.0
Great Perenees,1.0,1.0,1.0,10.0
Greyhound,0.875,0.7,0.7777777777777778,10.0
Groenendael,1.0,1.0,1.0,10.0
Irish Spaniel,0.7692307692307693,1.0,0.8695652173913043,10.0
Irish Wolfhound,1.0,1.0,1.0,10.0
Japanese Spaniel,0.9,0.9,0.9,10.0
Komondor,1.0,1.0,1.0,10.0
Labradoodle,1.0,0.1,0.18181818181818182,10.0
Labrador,1.0,0.9,0.9473684210526315,10.0
Lhasa,0.8333333333333334,1.0,0.9090909090909091,10.0
Malinois,0.8888888888888888,0.8,0.8421052631578947,10.0
Maltese,1.0,0.9,0.9473684210526315,10.0
Mex Hairless,0.8,0.8,0.8,10.0
Newfoundland,1.0,0.9,0.9473684210526315,10.0
Pekinese,1.0,1.0,1.0,10.0
Pit Bull,0.9,0.9,0.9,10.0
Pomeranian,1.0,1.0,1.0,10.0
Poodle,1.0,0.9,0.9473684210526315,10.0
Pug,1.0,0.9,0.9473684210526315,10.0
Rhodesian,0.9090909090909091,1.0,0.9523809523809523,10.0
Rottweiler,0.9090909090909091,1.0,0.9523809523809523,10.0
Saint Bernard,1.0,1.0,1.0,10.0
Schnauzer,0.7692307692307693,1.0,0.8695652173913043,10.0
Scotch Terrier,1.0,1.0,1.0,10.0
Shar_Pei,0.8888888888888888,0.8,0.8421052631578947,10.0
Shiba Inu,1.0,0.6,0.75,10.0
Shih-Tzu,1.0,0.8,0.8888888888888888,10.0
Siberian Husky,0.8333333333333334,1.0,0.9090909090909091,10.0
Vizsla,0.9090909090909091,1.0,0.9523809523809523,10.0
Yorkie,1.0,1.0,1.0,10.0
accuracy,0.9042857142857142,0.9042857142857142,0.9042857142857142,0.9042857142857142
macro avg,0.9177416046776946,0.9042857142857144,0.8975342874245265,700.0
weighted avg,0.9177416046776949,0.9042857142857142,0.8975342874245267,700.0
